ID,Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight
679,Triton,good,Male,green,Inhuman,No Hair,Marvel Comics,green,188.0,86.0
680,Two-Face,bad,Male,-,-,-,DC Comics,-,183.0,82.0
681,Ultragirl,good,Female,blue,-,Blond,Marvel Comics,-,168.0,105.0
682,Ultron,bad,Male,red,Android,-,Marvel Comics,silver,206.0,331.0
683,Utgard-Loki,bad,Male,blue,Frost Giant,White,Marvel Comics,-,15.2,58.0
684,Vagabond,good,Female,blue,-,Strawberry Blond,Marvel Comics,-,168.0,54.0
685,Valerie Hart,good,Female,hazel,-,Black,Team Epic TV,-,175.0,56.0
686,Valkyrie,good,Female,blue,-,Blond,Marvel Comics,-,191.0,214.0
687,Vanisher,bad,Male,green,-,No Hair,Marvel Comics,-,165.0,79.0
688,Vegeta,bad,Male,-,Saiyan,Black,Shueisha,-,168.0,73.0
689,Venom,bad,Male,blue,Symbiote,Strawberry Blond,Marvel Comics,-,191.0,117.0
690,Venom II,bad,Male,brown,-,Black,Marvel Comics,-,175.0,50.0
691,Venom III,bad,Male,brown,Symbiote,Brown,Marvel Comics,-,229.0,334.0
692,Venompool,-,Male,-,Symbiote,-,Marvel Comics,-,226.0,-99.0
693,Vertigo II,good,Female,blue,-,Silver,Marvel Comics,-,168.0,52.0
694,Vibe,good,Male,brown,Human,Black,DC Comics,-,178.0,71.0
695,Vindicator,good,Female,green,Human,Red,Marvel Comics,-,165.0,54.0
696,Vindicator,good,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
697,Violator,bad,Male,-,-,-,Image Comics,-,-99.0,-99.0
698,Violet Parr,good,Female,violet,Human,Black,Dark Horse Comics,-,137.0,41.0
699,Vision,good,Male,gold,Android,No Hair,Marvel Comics,red,191.0,135.0
700,Vision II,good,-,red,-,No Hair,Marvel Comics,-,191.0,135.0
701,Vixen,good,Female,amber,Human,Black,DC Comics,-,175.0,63.0
702,Vulcan,good,Male,black,-,Black,Marvel Comics,-,-99.0,-99.0
703,Vulture,bad,Male,brown,Human,No Hair,Marvel Comics,-,180.0,79.0
704,Walrus,bad,Male,blue,Human,Black,Marvel Comics,-,183.0,162.0
705,War Machine,good,Male,brown,Human,Brown,Marvel Comics,-,185.0,95.0
706,Warbird,good,Female,blue,-,Blond,Marvel Comics,-,180.0,54.0
707,Warlock,good,Male,red,-,Blond,Marvel Comics,-,188.0,108.0
708,Warp,bad,Male,brown,-,Black,DC Comics,-,173.0,67.0
709,Warpath,good,Male,brown,Mutant,Black,Marvel Comics,-,218.0,158.0
710,Wasp,good,Female,blue,Human,Auburn,Marvel Comics,-,163.0,50.0
711,Watcher,good,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
712,Weapon XI,bad,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
713,White Canary,bad,Female,brown,Human,Black,DC Comics,-,-99.0,-99.0
714,White Queen,good,Female,blue,-,Blond,Marvel Comics,-,178.0,65.0
715,Wildfire,good,Male,-,-,-,DC Comics,-,-99.0,-99.0
716,Winter Soldier,good,Male,brown,Human,Brown,Marvel Comics,-,175.0,117.0
717,Wiz Kid,good,-,brown,-,Black,Marvel Comics,-,140.0,39.0
718,Wolfsbane,good,Female,green,-,Auburn,Marvel Comics,-,366.0,473.0
719,Wolverine,good,Male,blue,Mutant,Black,Marvel Comics,-,160.0,135.0
720,Wonder Girl,good,Female,blue,Demi-God,Blond,DC Comics,-,165.0,51.0
721,Wonder Man,good,Male,red,-,Black,Marvel Comics,-,188.0,171.0
722,Wonder Woman,good,Female,blue,Amazon,Black,DC Comics,-,183.0,74.0
723,Wondra,good,Female,-,-,-,Marvel Comics,-,-99.0,-99.0
724,Wyatt Wingfoot,good,Male,brown,-,Black,Marvel Comics,-,196.0,117.0
725,X-23,good,Female,green,Mutant / Clone,Black,Marvel Comics,-,155.0,50.0
726,X-Man,good,Male,blue,-,Brown,Marvel Comics,-,175.0,61.0
727,Yellow Claw,bad,Male,blue,-,No Hair,Marvel Comics,-,188.0,95.0
728,Yellowjacket,good,Male,blue,Human,Blond,Marvel Comics,-,183.0,83.0
729,Yellowjacket II,good,Female,blue,Human,Strawberry Blond,Marvel Comics,-,165.0,52.0
730,Ymir,good,Male,white,Frost Giant,No Hair,Marvel Comics,white,304.8,-99.0
731,Yoda,good,Male,brown,Yoda's species,White,George Lucas,green,66.0,17.0
732,Zatanna,good,Female,blue,Human,Black,DC Comics,-,170.0,57.0
733,Zoom,bad,Male,red,-,Brown,DC Comics,-,185.0,81.0
